"","x"
"588","ASV_2152"
"589","ASV_2172"
"590","ASV_2188"
"591","ASV_2198"
"592","ASV_2203"
"593","ASV_2238"
"594","ASV_2247"
"595","ASV_2248"
"596","ASV_2278"
"597","ASV_2295"
"598","ASV_2306"
"599","ASV_2333"
"600","ASV_2334"
"601","ASV_2356"
"602","ASV_2404"
"603","ASV_2409"
"604","ASV_2474"
"605","ASV_2475"
"606","ASV_2481"
"607","ASV_2484"
"608","ASV_2513"
"609","ASV_2523"
"610","ASV_2545"
"611","ASV_2548"
"612","ASV_2558"
"613","ASV_2559"
"614","ASV_2595"
"615","ASV_2620"
"616","ASV_2635"
"617","ASV_2643"
"618","ASV_2652"
"619","ASV_2653"
"620","ASV_2666"
"621","ASV_2670"
"622","ASV_2672"
"623","ASV_2695"
"624","ASV_2740"
"625","ASV_2742"
"626","ASV_2747"
"627","ASV_2749"
"628","ASV_2754"
"629","ASV_2787"
"630","ASV_2788"
"631","ASV_2798"
"632","ASV_2808"
"633","ASV_2811"
"634","ASV_2813"
"635","ASV_2829"
"636","ASV_2843"
"637","ASV_2867"
"638","ASV_2873"
"639","ASV_2874"
"640","ASV_2883"
"641","ASV_2884"
"642","ASV_2885"
"643","ASV_2887"
"644","ASV_2889"
"645","ASV_2914"
"646","ASV_2932"
"647","ASV_2942"
"648","ASV_2945"
"649","ASV_2950"
"650","ASV_2951"
"651","ASV_2955"
"652","ASV_2958"
"653","ASV_2972"
"654","ASV_3012"
"655","ASV_3017"
"656","ASV_3040"
"657","ASV_3060"
"658","ASV_3070"
"659","ASV_3071"
"660","ASV_3078"
"661","ASV_3079"
"662","ASV_3103"
"663","ASV_3106"
"664","ASV_3112"
"665","ASV_3161"
"666","ASV_3181"
"667","ASV_3185"
"668","ASV_3189"
"669","ASV_3205"
"670","ASV_3208"
"671","ASV_3218"
"672","ASV_3223"
"673","ASV_3225"
"674","ASV_3233"
"675","ASV_3249"
"676","ASV_3252"
"677","ASV_3260"
"678","ASV_3268"
"679","ASV_3273"
"680","ASV_3280"
"681","ASV_3288"
"682","ASV_3291"
"683","ASV_3315"
"684","ASV_3335"
"685","ASV_3344"
"686","ASV_3354"
"687","ASV_3364"
"688","ASV_3374"
"689","ASV_3389"
"690","ASV_3391"
"691","ASV_3392"
"692","ASV_3394"
"693","ASV_3402"
"694","ASV_3407"
"695","ASV_3415"
"696","ASV_3428"
"697","ASV_3431"
"698","ASV_3432"
"699","ASV_3434"
"700","ASV_3437"
"701","ASV_3450"
"702","ASV_3468"
"703","ASV_3471"
"704","ASV_3508"
"705","ASV_3512"
"706","ASV_3525"
"707","ASV_3530"
"708","ASV_3531"
"709","ASV_3540"
"710","ASV_3545"
"711","ASV_3558"
"712","ASV_3562"
"713","ASV_3563"
"714","ASV_3566"
"715","ASV_3606"
"716","ASV_3622"
"717","ASV_3634"
"718","ASV_3636"
"719","ASV_3639"
"720","ASV_3649"
"721","ASV_3661"
"722","ASV_3664"
"723","ASV_3678"
"724","ASV_3736"
"725","ASV_3737"
"726","ASV_3760"
"727","ASV_3764"
"728","ASV_3768"
"729","ASV_3769"
"730","ASV_3774"
"731","ASV_3798"
"732","ASV_3800"
"733","ASV_3816"
"734","ASV_3842"
"735","ASV_3849"
"736","ASV_3852"
"737","ASV_3862"
"738","ASV_3868"
"739","ASV_3901"
"740","ASV_3943"
"741","ASV_3961"
"742","ASV_3969"
"743","ASV_3970"
"744","ASV_3974"
"745","ASV_3980"
"746","ASV_3992"
"747","ASV_3994"
"748","ASV_3997"
"749","ASV_3998"
"750","ASV_4010"
"751","ASV_4015"
"752","ASV_4016"
"753","ASV_4021"
"754","ASV_4026"
"755","ASV_4030"
"756","ASV_4033"
"757","ASV_4041"
"758","ASV_4051"
"759","ASV_4061"
"760","ASV_4075"
"761","ASV_4079"
"762","ASV_4091"
"763","ASV_4100"
"764","ASV_4110"
"765","ASV_4121"
"766","ASV_4128"
"767","ASV_4134"
"768","ASV_4154"
"769","ASV_4155"
"770","ASV_4160"
"771","ASV_4165"
"772","ASV_4173"
"773","ASV_4177"
"774","ASV_4222"
"775","ASV_4227"
"776","ASV_4236"
"777","ASV_4241"
"778","ASV_4243"
"779","ASV_4247"
"780","ASV_4266"
"781","ASV_4283"
"782","ASV_4298"
"783","ASV_4310"
"784","ASV_4313"
"785","ASV_4316"
"786","ASV_4322"
"787","ASV_4334"
"788","ASV_4335"
"789","ASV_4356"
"790","ASV_4394"
"791","ASV_4405"
"792","ASV_4409"
"793","ASV_4419"
"794","ASV_4441"
"795","ASV_4446"
"796","ASV_4454"
"797","ASV_4473"
"798","ASV_4477"
"799","ASV_4479"
"800","ASV_4482"
"801","ASV_4491"
"802","ASV_4497"
"803","ASV_4517"
"804","ASV_4518"
"805","ASV_4542"
"806","ASV_4545"
"807","ASV_4549"
"808","ASV_4552"
"809","ASV_4554"
"810","ASV_4572"
"811","ASV_4573"
"812","ASV_4577"
"813","ASV_4584"
"814","ASV_4592"
"815","ASV_4604"
"816","ASV_4607"
"817","ASV_4609"
"818","ASV_4612"
"819","ASV_4617"
"820","ASV_4622"
"821","ASV_4629"
"822","ASV_4630"
"823","ASV_4644"
"824","ASV_4661"
"825","ASV_4664"
"826","ASV_4667"
"827","ASV_4686"
"828","ASV_4697"
"829","ASV_4700"
"830","ASV_4701"
"831","ASV_4710"
"832","ASV_4770"
"833","ASV_4784"
"834","ASV_4790"
"835","ASV_4798"
"836","ASV_4799"
"837","ASV_4800"
"838","ASV_4804"
"839","ASV_4824"
"840","ASV_4838"
"841","ASV_4879"
"842","ASV_4883"
"843","ASV_4885"
"844","ASV_4905"
"845","ASV_4911"
"846","ASV_4912"
"847","ASV_4921"
"848","ASV_4927"
"849","ASV_4929"
"850","ASV_4931"
"851","ASV_4940"
"852","ASV_4945"
"853","ASV_4955"
"854","ASV_4978"
"855","ASV_4993"
"856","ASV_5001"
"857","ASV_5028"
"858","ASV_5044"
"859","ASV_5045"
"860","ASV_5048"
"861","ASV_5086"
"862","ASV_5122"
"863","ASV_5124"
"864","ASV_5133"
"865","ASV_5140"
"866","ASV_5156"
"867","ASV_5165"
"868","ASV_5173"
"869","ASV_5190"
"870","ASV_5193"
"871","ASV_5244"
"872","ASV_5269"
"873","ASV_5275"
"874","ASV_5288"
"875","ASV_5298"
"876","ASV_5306"
"877","ASV_5357"
"878","ASV_5361"
"879","ASV_5381"
"880","ASV_5388"
"881","ASV_5393"
"882","ASV_5394"
"883","ASV_5398"
"884","ASV_5402"
"885","ASV_5404"
"886","ASV_5406"
"887","ASV_5428"
"888","ASV_5438"
"889","ASV_5439"
"890","ASV_5454"
"891","ASV_5464"
"892","ASV_5475"
"893","ASV_5497"
"894","ASV_5516"
"895","ASV_5533"
"896","ASV_5547"
"897","ASV_5556"
"898","ASV_5577"
"899","ASV_5579"
"900","ASV_5584"
"901","ASV_5597"
"902","ASV_5602"
"903","ASV_5621"
"904","ASV_5629"
"905","ASV_5632"
"906","ASV_5655"
"907","ASV_5656"
"908","ASV_5660"
"909","ASV_5683"
"910","ASV_5690"
"911","ASV_5697"
"912","ASV_5705"
"913","ASV_5729"
"914","ASV_5736"
"915","ASV_5742"
"916","ASV_5768"
"917","ASV_5771"
"918","ASV_5800"
"919","ASV_5824"
"920","ASV_5844"
"921","ASV_5850"
"922","ASV_5865"
"923","ASV_5872"
"924","ASV_5873"
"925","ASV_5891"
"926","ASV_5892"
"927","ASV_5928"
"928","ASV_5929"
"929","ASV_5947"
"930","ASV_5953"
"931","ASV_5963"
"932","ASV_5966"
"933","ASV_5972"
"934","ASV_5984"
"935","ASV_5991"
"936","ASV_6003"
"937","ASV_6017"
"938","ASV_6018"
"939","ASV_6022"
"940","ASV_6042"
"941","ASV_6046"
"942","ASV_6054"
"943","ASV_6082"
"944","ASV_6124"
"945","ASV_6126"
"946","ASV_6134"
"947","ASV_6139"
"948","ASV_6150"
"949","ASV_6154"
"950","ASV_6192"
"951","ASV_6198"
"952","ASV_6203"
"953","ASV_6215"
"954","ASV_6216"
"955","ASV_6218"
"956","ASV_6219"
"957","ASV_6220"
"958","ASV_6237"
"959","ASV_6242"
"960","ASV_6272"
"961","ASV_6287"
"962","ASV_6291"
"963","ASV_6292"
"964","ASV_6293"
"965","ASV_6347"
"966","ASV_6369"
"967","ASV_6370"
"968","ASV_6373"
"969","ASV_6376"
"970","ASV_6384"
"971","ASV_6424"
"972","ASV_6425"
"973","ASV_6426"
"974","ASV_6440"
"975","ASV_6446"
"976","ASV_6460"
"977","ASV_6462"
"978","ASV_6468"
"979","ASV_6487"
"980","ASV_6488"
"981","ASV_6496"
"982","ASV_6504"
"983","ASV_6542"
"984","ASV_6548"
"985","ASV_6581"
"986","ASV_6605"
"987","ASV_6608"
"988","ASV_6631"
"989","ASV_6636"
"990","ASV_6646"
"991","ASV_6686"
"992","ASV_6688"
"993","ASV_6692"
"994","ASV_6694"
"995","ASV_6720"
"996","ASV_6724"
"997","ASV_6747"
"998","ASV_6767"
"999","ASV_6771"
"1000","ASV_6776"
"1001","ASV_6779"
"1002","ASV_6780"
"1003","ASV_6782"
"1004","ASV_6785"
"1005","ASV_6801"
"1006","ASV_6827"
"1007","ASV_6841"
"1008","ASV_6859"
"1009","ASV_6862"
"1010","ASV_6863"
"1011","ASV_6866"
"1012","ASV_6876"
"1013","ASV_6897"
"1014","ASV_6898"
"1015","ASV_6920"
"1016","ASV_6921"
"1017","ASV_6960"
"1018","ASV_6978"
"1019","ASV_7023"
"1020","ASV_7031"
"1021","ASV_7062"
"1022","ASV_7089"
"1023","ASV_7129"
"1024","ASV_7145"
"1025","ASV_7153"
"1026","ASV_7174"
"1027","ASV_7210"
"1028","ASV_7221"
"1029","ASV_7232"
"1030","ASV_7233"
"1031","ASV_7253"
"1032","ASV_7258"
"1033","ASV_7278"
"1034","ASV_7283"
"1035","ASV_7285"
"1036","ASV_7287"
"1037","ASV_7305"
"1038","ASV_7318"
"1039","ASV_7330"
"1040","ASV_7333"
"1041","ASV_7423"
"1042","ASV_7428"
"1043","ASV_7433"
"1044","ASV_7445"
"1045","ASV_7459"
"1046","ASV_7462"
"1047","ASV_7504"
"1048","ASV_7528"
"1049","ASV_7534"
"1050","ASV_7540"
"1051","ASV_7560"
"1052","ASV_7588"
"1053","ASV_7605"
"1054","ASV_7626"
"1055","ASV_7642"
"1056","ASV_7649"
"1057","ASV_7675"
"1058","ASV_7712"
"1059","ASV_7760"
"1060","ASV_7764"
"1061","ASV_7771"
"1062","ASV_7773"
"1063","ASV_7819"
"1064","ASV_7844"
"1065","ASV_7853"
"1066","ASV_7886"
"1067","ASV_7887"
"1068","ASV_7892"
"1069","ASV_7919"
"1070","ASV_7928"
"1071","ASV_7929"
"1072","ASV_7989"
"1073","ASV_7993"
"1074","ASV_8016"
"1075","ASV_8080"
"1076","ASV_8113"
"1077","ASV_8165"
"1078","ASV_8191"
"1079","ASV_8216"
"1080","ASV_8241"
"1081","ASV_8291"
"1082","ASV_8296"
"1083","ASV_8301"
"1084","ASV_8327"
"1085","ASV_8337"
"1086","ASV_8348"
"1087","ASV_8398"
"1088","ASV_8441"
"1089","ASV_8453"
"1090","ASV_8508"
"1091","ASV_8555"
"1092","ASV_8608"
"1093","ASV_8628"
"1094","ASV_8653"
"1095","ASV_8833"
"1096","ASV_8972"
"1097","ASV_8997"
"1098","ASV_9019"
"1099","ASV_9034"
"1100","ASV_9057"
"1101","ASV_9215"
"1102","ASV_9315"
"1103","ASV_9321"
"1104","ASV_9385"
"1105","ASV_9414"
"1106","ASV_9553"
"1107","ASV_9625"
"1108","ASV_9627"
"1109","ASV_9636"
"1110","ASV_9749"
"1111","ASV_9755"
"1112","ASV_9889"
"1113","ASV_9930"
"1114","ASV_9933"
"1115","ASV_9941"
"1116","ASV_9944"
"1117","ASV_9968"
"1118","ASV_10016"
"1119","ASV_10024"
"1120","ASV_10029"
"1121","ASV_10208"
"1122","ASV_10321"
"1123","ASV_10742"
"1124","ASV_11046"
"1125","ASV_11277"
"1126","ASV_11381"
"1127","ASV_11649"
"1128","ASV_11893"
"1129","ASV_13141"
"1130","ASV_125"
"1131","ASV_477"
"1132","ASV_541"
"1133","ASV_555"
"1134","ASV_557"
"1135","ASV_560"
"1136","ASV_605"
"1137","ASV_616"
"1138","ASV_619"
"1139","ASV_659"
"1140","ASV_700"
"1141","ASV_772"
"1142","ASV_817"
"1143","ASV_818"
"1144","ASV_895"
"1145","ASV_908"
"1146","ASV_920"
"1147","ASV_945"
"1148","ASV_1011"
"1149","ASV_1049"
"1150","ASV_1053"
"1151","ASV_1083"
"1152","ASV_1088"
"1153","ASV_1120"
"1154","ASV_1133"
"1155","ASV_1150"
"1156","ASV_1171"
"1157","ASV_1203"
"1158","ASV_1231"
"1159","ASV_1250"
"1160","ASV_1290"
"1161","ASV_1304"
"1162","ASV_1332"
"1163","ASV_1339"
"1164","ASV_1385"
"1165","ASV_1389"
"1166","ASV_1393"
"1167","ASV_1426"
"1168","ASV_1433"
"1169","ASV_1439"
