"","sample.name.match","Site","SiteSamp","Axis1","MAP.mm","MAT.C","ph","P","Mn","Zn","TIN","doc","perc.C","perc.sand","perc.clay","max.height.m","stand.age.yrs.num"
"R104","R104","UCP-MXG-NCD","UCP-MXG-NCD-5",-4.65925316806491,6.36386948930598,11.9544855994979,1.42040185471406,1.68617647368443,0.718054351313912,0.757318015973384,0.78918925207136,0.81063848531708,-1.33238111588192,0.221462356373724,-0.818902984766094,1.40963855421687,1.26631956334879
"R48","R48","CRE-MXT-NCD","CRE-MXT-NCD-8",-0.782438248844849,6.5048559580969,12.1274527780594,1.6661514683153,1.4564701790239,0.990054436972758,0.559067074172844,0.616430007996057,0.384164182844567,-1.66157900761823,0.379567839567279,-0.506781751551434,1.13253012048193,0.618374876357686
"R112","R112","WBI-NRT-NCS","WBI-NRT-NCS-5",2.94646660551076,7.0937909209952,12.1515959059777,2.02936630602782,1.59398912584941,0.593367894971766,0.808302689229897,0.827447173477721,0.349376046864096,-1.49400874169687,0.403855295117377,-0.977731556070277,1.32530120481928,0.798958690046365
"R97","R97","SFA-ONE-PRO","SFA-ONE-PRO-6",3.21148315884073,6.79550414666085,11.7477564296688,1.98454404945904,1.29021366988912,0.587313289114269,0.513198624959495,0.510542696073005,0.0554882525887425,-1.55214529260544,0.453741591567853,-1.03637378634143,1.56626506024096,0.266319563348788
"R79","R79","OTO-MON-NCD","OTO-MON-NCD-4",3.91935212847961,6.15206241815801,11.7211914054367,1.7403400309119,1.08716857543497,0.449645336309669,0.630536820311007,0.735580497324239,0.134130665014804,-1.57935716722952,0.184782280480032,-0.391862392371246,1.18072289156627,0.844213042232524
"R59","R59","LWR-BHO-NCS","LWR-BHO-NCS-3",2.7588256059094,6.41772151898735,11.8781392549521,1.85625965996909,1.5364639488293,0.604982167311078,0.659955510872258,0.346253031667455,0.81744906075637,-1.77093996344806,0.300544396812591,-0.763509552159991,1.30722891566265,0.954745647813834
"R87","R87","OTO-MXT-NCD","OTO-MXT-NCD-4",1.57089334326231,6.15206241815801,11.7211914054367,1.57341576506955,1.21663098456916,0.170669414442464,0.404220281900279,0.447354735793393,0.160860484485327,-1.62716150132102,0.234186010564493,-0.465853768716392,1.34939759036145,0.798958690046365
"R4","R4","BRF-ONE-COM","BRF-ONE-COM-4",-6.12761330572181,6.38007420340463,11.8781392549521,1.81761978361669,0.890164795025495,0.840107507779104,0.568733662043517,0.732294575629245,0,-1.55214529260544,0.27891892743184,-0.645449623050529,1.4578313253012,0.688426084465051
"R52","R52","LCO-MXT-COM","LCO-MXT-COM-4",3.64859907436949,6.8711807071148,12.1274527780594,1.34003091190108,0.977044508079576,0.152061919937964,0.334317282422792,0.719389287200048,0.912885260086711,-0.885761483402486,0.0403377900180075,-0.504975008384016,1.09036144578313,0.884694439706475
"R10","R10","CCR-ONE-NCD","CCR-ONE-NCD-2",5.99032693439569,6.421977302488,11.9037411907642,2.20401854714065,1.42581376210871,0.662549684566986,1.13211931581362,0.90402543953045,0.377007005792904,-1.55590002153648,0.611531051851841,-0.593076600904565,1.63253012048193,1.26631956334879
