"","Site","SiteSamp","MAP.mm","MAT.C","ph","P","K","Cu","Mn","S","Zn","TIN","p.resin","doc","perc.C","perc.sand","perc.clay","basal.area.m2","max.height.m","stand.age.yrs.num","samp.lon","samp.lat"
"28","CCR-ONE-NCD","CCR-ONE-NCD-7",1.17702,1.22010808804006,5.82,2.57174829877363,1.77433135657326,0.802019590558336,1.52228947180879,1.21096659552852,2.7077144839517,0.687729271889146,1.70623119308295,0.520538836200509,-1.90471994232921,0.613797346918624,-1.07777834861682,-0.600847235955137,2.33,1.43136376415899,-78.5126798308753,35.6649857847519
"29","CGF-MON-PRO","CGF-MON-PRO-5",1.11687,1.20411998265592,7,1.65613460709956,1.99884400918884,0.825828580744744,1.48600877707144,1.53034562231777,1.90855288269345,0.494908611123526,1.04902043817101,0.880047499107664,-1.39631681312087,-0.12308582506812,-0.231179028287479,-1.00453957351627,2.12,1,-80.6534993912568,35.5535752210817
"30","CGF-MXG-PRO","CGF-MXG-PRO-3",1.11687,1.20411998265592,5.325,2.03997685118263,2.20482313103974,0.683691738517217,1.82639478391398,1.48614174539356,1.74472749489669,0.310196305856233,1.40729436333304,0.688619532049104,-1.73930268006272,-0.299767842492488,-0.563033556369942,-1.2756063458028,2.1,1.11394335230684,-80.6516817172101,35.5495156361785
"31","CRE-MXG-NCD","CRE-MXG-NCD-1",1.19221,1.24303804868629,4.435,2.57740341182798,1.70757017609794,0.404570587571051,1.8790517461245,1.17161395670094,1.40457058757105,0.319681871955453,1.15137155365846,0.53781669273986,-2.1395292720594,0.677141092027942,-1.51950046499066,-0.990299134401656,1.76,0.602059991327962,-78.0444347336108,35.3695802910101
"32","CRE-MXG-NCD","CRE-MXG-NCD-7",1.19221,1.24303804868629,5.91,2.1654531717566,1.81217033767307,0.566459316586738,1.57058617692528,1.17286228892548,1.70693893400729,0.233290883407472,0.575988630232939,0.502719168986972,-2.11015226618299,0.425372244499032,-1.4384442667565,-1.42006475698942,1.81,0.602059991327962,-78.0470440636476,35.3700587520628
"33","SFA-ONE-PRO","SFA-ONE-PRO-8",1.24548,1.20411998265592,5.89,1.89542254603941,1.93348728784871,0.146128035678238,1.14238946611884,1.13987908640124,1.10720996964787,0.281479386866518,1.17834118318049,0.338691200709082,-2.03698843608998,0.534300263061598,-1.4129857267353,-1.81487550727131,2.42,0.301029995663981,-81.6866529300231,35.3736261564306
"34","BRF-ONE-COM","BRF-ONE-COM-4",1.16934,1.21748394421391,5.88,1.40431615163057,1.82857325208367,0.152339743221143,1.59738172905019,1.10601081247026,1.24667233334139,0.487330834629822,0.284341049198078,0,-2.04672746949238,0.368582458385629,-1.10217335631992,-0.984336187427979,2.42,0.778151250383644,-78.847858720359,35.603579666916
"35","CCR-ONE-NCD","CCR-ONE-NCD-2",1.17702,1.22010808804006,7.13,2.24935125106701,1.69405650084175,0.631570588836501,1.25977300632998,1.01598810538413,2.48162175594634,0.601615096758572,1.122400534713,0.377400234696723,-2.05167862121784,0.808118762488007,-1.01274089321549,-0.455185932704306,2.71,1.43136376415899,-78.5122984461369,35.6652312679346
"36","CCR-ONE-NCD","CCR-ONE-NCD-8",1.17702,1.22010808804006,6.285,2.3048175896851,1.61910902924707,0.641816913791928,1.09964429999531,1.06169051388729,2.46609796035862,0.566570909401214,1.30001782546901,0.290765556933091,-2.1395292720594,0.658791520541791,-0.955995623793237,-0.422765042259997,2.82,1.43136376415899,-78.5128396231975,35.6653542649879
"37","CGF-MON-PRO","CGF-MON-PRO-6",1.11687,1.20411998265592,7.235,1.61005929018088,2.11981401065867,0.822235157054753,1.62878177899786,1.4654591170526,1.96523789374079,0.537215959626372,0.675394910169014,0.837876573498049,-1.257293765067,0.134932350626847,-0.279148297487701,-1.15845785362076,2.25,1,-80.6533842526114,35.5535378751264
"38","CGF-MXG-PRO","CGF-MXG-PRO-4",1.11687,1.20411998265592,5.645,2.08278537031645,2.12139568070722,0.769007870943774,1.89831372302541,1.49136169383427,1.81291335664286,0.228149477067705,1.28642392144105,0.629067070259666,-1.74929451036117,-0.499304057078107,-0.484268121337221,-0.992640350216558,2.06,1.11394335230684,-80.6520185165303,35.5496277070324
"39","CRE-MXG-NCD","CRE-MXG-NCD-2",1.19221,1.24303804868629,5.68,2.3651758796084,1.87602529149432,0.45229767099463,2.09604055429543,1.10266234189715,1.68424674751531,0.257279845263089,0.957230775392015,0.276486048016972,-2.1395292720594,0.65287882896734,-1.53091767612659,-0.901877231619118,1.44,0.602059991327962,-78.0449336714644,35.3694333977764
"40","CRE-MXG-NCD","CRE-MXG-NCD-8",1.19221,1.24303804868629,5.94,1.65647790120311,1.73102590205629,0.288561355104383,1.44539856445802,1.09063731167428,1.37263414340727,0.271645728297705,0.347244351220329,0.402005683552125,-1.92670293361875,0.268923680043396,-1.11169049635375,-1.11724385370755,2.09,0.602059991327962,-78.0475240920325,35.369978769257
"41","UCP-MXG-NCD","UCP-MXG-NCD-2",1.16637,1.22530928172586,5.13,2.1668246580284,1.59476075258646,0.176091259055681,0.920818753952375,1.24715461488113,1.28254658996997,0.328940677349188,0.546231067222127,0.344577564905788,-1.99126995046971,0.684328014913932,-1.27162214561246,-1.08124620043604,2.06,1.43136376415899,-77.6791334268051,35.8956564025115
"42","CCR-ONE-NCD","CCR-ONE-NCD-3",1.17702,1.22010808804006,7.01,2.15370334951996,1.66771863446899,0.611662873616529,1.14385225152611,1.0316547327481,2.41388557161778,0.553644266042483,1.05561516825942,0.262123621321468,-1.99126995046971,0.620920505694596,-0.998086728732673,-0.849637613530522,2.39,1.43136376415899,-78.5124414134691,35.6655156232206
"43","UCP-MXG-NCD","UCP-MXG-NCD-4",1.16637,1.22530928172586,5.05,2.50088525731458,1.70075864246214,0.370921165941376,0.947293649483997,1.22719271506972,1.63202321470541,0.334676170929998,1.20581773443292,0.197064508409069,-1.91557569854,0.60460649206655,-1.27369840808822,-1.04534670073256,1.96,1.43136376415899,-77.6793106089689,35.8957409273436
"44","UCP-MXG-NCD","UCP-MXG-NCD-6",1.16637,1.22530928172586,4.725,2.66419646912427,1.63453030080759,0.347928865283466,1.05837274005943,1.47635866544224,1.44824512698343,0.461861082828048,1.03677185010073,0.690498847748353,-1.89412257776595,0.428911174594958,-1.39904666053237,-0.159441533502009,2.64,1.43136376415899,-77.6794227080479,35.8958579937181
"45","WBI-NRT-NCS","WBI-NRT-NCS-7",1.30015,1.24551266781415,6.275,2.43310624044728,2.00432137378264,0.619343099468473,1.00259060109727,1.11279971904057,1.56528259383342,0.521581213791078,1.41749376587059,0.358648167950687,-2.09342168516224,0.585379329695679,-1.67173314457232,-0.430508305788547,2.41,0.903089986991944,-78.1012101567425,34.7671805772339
"46","CRE-MXG-NCD","CRE-MXG-NCD-3",1.19221,1.24303804868629,5.215,2.52556305827007,1.73719264270474,0.510545010206612,1.96473092105363,1.18752072083646,1.66651798055488,0.389239786550811,1.11229479818261,0.444150087527648,-2.11587316331938,0.696125484320885,-1.79195003777146,-0.935823761146806,1.31,0.602059991327962,-78.0453008293768,35.3697528027965
"47","CRE-MXT-NCD","CRE-MXT-NCD-1",1.19221,1.24303804868629,6.05,2.27352364848023,1.86142337934389,0.295226419564741,2.11225492911356,1.09706371836514,1.52670515313339,0.397968983501451,0.796180141730418,0.439275384827265,-2.13349516175906,0.445676678006422,-0.882742961252304,-1.12947831012457,2.36,0.698970004336019,-78.0478664529638,35.371
"48","CRE-MXT-NCD","CRE-MXT-NCD-7",1.19221,1.24303804868629,5.265,2.31189162844877,1.50371319669014,0.195652197568376,1.85767563786492,1.09279479189664,1.23231418329452,0.38566151223971,0.709733193976361,0.535910451428144,-2.13349516175906,0.515657555722959,-0.901334844110274,-1.27754084558,1.4,0.698970004336019,-78.0441529169746,35.3698379007697
