"","Site","var","n","mean","se"
"109","OTO-MXT-NCD","p.resin",8,1.41846595307262,0.307395678936148
"110","SFA-ONE-PRO","p.resin",8,5.02812610322357,2.08013510283703
"111","UCP-MXG-NCD","p.resin",8,9.43694470585206,1.36192246080165
"112","WBI-NRT-NCS","p.resin",8,21.4150778835769,1.2691367052449
"113","BRF-ONE-COM","perc.C",8,0.9525,0.0612591101096692
"114","CCR-ONE-NCD","perc.C",8,0.93125,0.0713501801979905
"115","CGF-MON-PRO","perc.C",8,3.31375,0.384010497903378
"116","CGF-MXG-PRO","perc.C",8,1.8225,0.0791416000415891
"117","CRE-MXG-NCD","perc.C",8,0.82375,0.0542789586961914
"118","CRE-MXT-NCD","perc.C",8,0.83625,0.103336093473122
"119","LCO-MXT-COM","perc.C",8,5.52,0.741877444634316
"120","LWR-BHO-NCS","perc.C",8,1.31875,0.157178668809007
"121","MHC-ONE-NCD","perc.C",8,2.01875,0.152461207009708
"122","OTO-MON-NCD","perc.C",8,0.79,0.0289087233497829
"123","OTO-MXT-NCD","perc.C",8,0.85625,0.0430505309408109
"124","SFA-ONE-PRO","perc.C",8,1.04,0.117564571922959
"125","UCP-MXG-NCD","perc.C",8,1.2425,0.095108021293084
"126","WBI-NRT-NCS","perc.C",8,1,0.0514087263298474
"127","BRF-ONE-COM","ph",8,5.664375,0.0560009366949722
"128","CCR-ONE-NCD","ph",8,6.600625,0.166619319911759
"129","CGF-MON-PRO","ph",8,6.87,0.0750713945901785
"130","CGF-MXG-PRO","ph",8,5.476875,0.0511208084205583
"131","CRE-MXG-NCD","ph",8,5.523125,0.185265103249756
"132","CRE-MXT-NCD","ph",8,5.70625,0.0919178107255141
"133","LCO-MXT-COM","ph",8,4.241875,0.0507702941478296
"134","LWR-BHO-NCS","ph",8,6.064375,0.0600106947313798
"135","MHC-ONE-NCD","ph",8,6.4575,0.114595562118011
"136","OTO-MON-NCD","ph",8,5.475,0.0776381257593752
"137","OTO-MXT-NCD","ph",8,5.23,0.0728440114216673
"138","SFA-ONE-PRO","ph",8,6.056875,0.151877939418939
"139","UCP-MXG-NCD","ph",8,4.96125,0.0827741656557166
"140","WBI-NRT-NCS","ph",8,6.483125,0.0400104618015267
"141","BRF-ONE-COM","TIN",8,1.54000849998911,0.108582648568911
"142","CCR-ONE-NCD","TIN",8,2.48012752655278,0.255529517682679
"143","CGF-MON-PRO","TIN",8,1.95094247484374,0.215264964338345
"144","CGF-MXG-PRO","TIN",8,1.30876954595192,0.235103269483346
"145","CRE-MXG-NCD","TIN",8,1.14180957021023,0.157396603104544
"146","CRE-MXT-NCD","TIN",8,1.26776951025107,0.0820232637912908
"147","LCO-MXT-COM","TIN",8,2.89818707023509,0.522476262390436
"148","LWR-BHO-NCS","TIN",8,1.23438902636125,0.263704532385229
"149","MHC-ONE-NCD","TIN",8,1.1770315071861,0.178804183403035
"150","OTO-MON-NCD","TIN",8,1.70882540021593,0.143877887041351
"151","OTO-MXT-NCD","TIN",8,1.04899545640944,0.156358626191348
"152","SFA-ONE-PRO","TIN",8,0.780141286986709,0.108043541252719
"153","UCP-MXG-NCD","TIN",8,1.75712431978657,0.154949208919634
"154","WBI-NRT-NCS","TIN",8,2.91356248661783,0.195467226749881
