"","Site","SiteSamp","MAP.mm","MAT.C","ph","watercontent","P","K","Cu","Mg","Mn","S","Zn","TIN","p.resin","doc","perc.C","perc.sand","perc.clay","basal.area.m2","max.height.m","stand.age.yrs.num","samp.lon","samp.lat"
"33","SFA-ONE-PRO","SFA-ONE-PRO-8",6.79550414666085,11.7477564296688,1.82071097372488,9.78475355537788,1.20146622270405,1.76111414575313,0.1518154037747,1.10750840625723,0.600814413887694,1.83675794528258,0.505110736677017,0.422968984325342,0.690610503405094,0.338338304347756,-1.54475965134378,0.40432324683171,-0.827466114534123,-1.09187290933879,1.4578313253012,0.266319563348788,-16.0479998060383,23.0543350071099
"34","BRF-ONE-COM","BRF-ONE-COM-4",6.38007420340463,11.8781392549521,1.81761978361669,9.85418357704313,0.890164795025495,1.66555334551666,0.158268873736022,1.48363923914818,0.840107507779104,1.78218389266781,0.568733662043517,0.732294575629245,0.166648605623197,0,-1.55214529260544,0.27891892743184,-0.645449623050529,-0.592200408473403,1.4578313253012,0.688426084465051,-15.4902958569598,23.2042044393063
"35","CCR-ONE-NCD","CCR-ONE-NCD-2",6.421977302488,11.9037411907642,2.20401854714065,9.68608820415865,1.42581376210871,1.54302895399791,0.656151596861008,1.50946821676033,0.662549684566986,1.63712471536654,1.13211931581362,0.90402543953045,0.657824413985165,0.377007005792904,-1.55590002153648,0.611531051851841,-0.593076600904565,-0.273850843565131,1.63253012048193,1.26631956334879,-15.424372342867,23.2443851280861
"36","CCR-ONE-NCD","CCR-ONE-NCD-8",6.421977302488,11.9037411907642,1.94281298299845,9.71914298390155,1.46097264131796,1.4747631561086,0.666796713337768,1.3077248864587,0.578333541389549,1.71076784378093,1.12503733855521,0.851365795433393,0.76192360726921,0.290462596280952,-1.62252197105762,0.498530030744057,-0.559845700748544,-0.254345653357343,1.69879518072289,1.26631956334879,-15.4244786614521,23.2444652899349
"37","CGF-MON-PRO","CGF-MON-PRO-6",6.0937909209952,11.7477564296688,2.23647604327666,10.1857210720095,1.02058079753525,1.93082957617499,0.854236914816825,1.95145976536309,0.856621667936277,2.3613852634416,0.896544275670403,0.807255164706908,0.395840207884524,0.837003555263714,-0.953474572437785,0.102107915492064,-0.163473524700533,-0.696956205487093,1.35542168674699,0.884694439706475,-15.8450058659035,23.1715903039283
"38","CGF-MXG-PRO","CGF-MXG-PRO-4",6.0937909209952,11.7477564296688,1.74497681607419,10.0748437902545,1.32023135253206,1.93227023808879,0.798937999073081,1.66314057606017,0.998376018600149,2.40312369366162,0.82705360880801,0.342832040612079,0.753956396211841,0.628411619277592,-1.32658562515459,-0.377840423205615,-0.283594839759282,-0.597196393237792,1.24096385542169,0.985499489933852,-15.8447375560685,23.1690418989451
"39","CRE-MXG-NCD","CRE-MXG-NCD-2",6.5048559580969,12.1274527780594,1.75579598145286,9.48817373534446,1.49923241972703,1.70877496811337,0.469901297377339,1.17904542021203,1.1023660620684,1.7767882941319,0.76835572177325,0.386605200649789,0.56102055763171,0.276197965775395,-1.62252197105762,0.494055695206211,-0.896528872986549,-0.542591110414481,0.867469879518072,0.532639126697576,-15.3325547748278,23.0516024271309
"40","CRE-MXG-NCD","CRE-MXG-NCD-8",6.5048559580969,12.1274527780594,1.83616692426584,9.83727081930816,1.05000452332377,1.57670248050523,0.299792291298627,1.46752122368355,0.760175331701299,1.7574116163179,0.626197615963461,0.408192298105596,0.20351541609839,0.401586817214113,-1.46112412778001,0.203503728113535,-0.65102300623216,-0.67216086839073,1.25903614457831,0.532639126697576,-15.3330636837779,23.051957866428
"41","UCP-MXG-NCD","UCP-MXG-NCD-2",6.36386948930598,11.9544855994979,1.58578052550232,9.64356782840799,1.3735019890859,1.45258556294769,0.182944809123406,1.16683623966611,0.484284209860825,2.00961766489715,0.585099548090556,0.49428736416729,0.320138952702626,0.344218535298301,-1.51008882520875,0.517854367696617,-0.744681433135668,-0.650503811336702,1.24096385542169,1.26631956334879,-15.2606903753846,23.3945619356066
"42","CCR-ONE-NCD","CCR-ONE-NCD-3",6.421977302488,11.9037411907642,2.16692426584235,9.73775153087332,1.36518468326746,1.51903914587787,0.63546906451652,1.55333659426186,0.60158373344392,1.66236932475524,1.10121797378834,0.831941391845462,0.618682375834457,0.261850503885915,-1.51008882520875,0.469871741122244,-0.584494897411808,-0.511162495307486,1.43975903614458,1.26631956334879,-15.424400429949,23.2445704532206
