"","sample.name.match","Site","SiteSamp","Axis1","MAP.mm","ph","P","K","Cu","Mn","Zn","TIN","perc.C","perc.sand","max.height.m","stand.age.yrs.num"
"L54","L54","LCO-MXT-COM","LCO-MXT-COM-6",-4.16598494473622,6.8711807071148,1.25656877897991,0.917586905743683,1.60455340276837,0.0571900420788695,0.152061919937964,0.277320056045049,1.19594176591687,-0.770939963448061,-0.0297835353335638,1.19879518072289,0.884694439706475
"L104","L104","UCP-MXG-NCD","UCP-MXG-NCD-7",-0.770480667836277,6.36386948930598,1.62132921174652,1.56172749286926,1.75363619494149,0.275207068395591,0.616482543106454,0.69639737920981,0.753705749896709,-1.43907432756424,0.473273019724443,1.48795180722892,1.26631956334879
"L76","L76","OTO-MON-NCD","OTO-MON-NCD-3",-2.01416724177736,6.15206241815801,1.65996908809892,1.03519060630176,1.40560405786194,0.287903387691005,0.355892002251724,0.550203741651779,0.699377113303928,-1.66157900761823,0.19410897133127,1.3855421686747,0.844213042232524
"L74","L74","OTO-MON-NCD","OTO-MON-NCD-1",-2.04795536814692,6.15206241815801,1.67697063369397,1.10674271752619,1.54795198083829,0.361135123081371,0.436313492551082,0.591653720363282,0.577403381615785,-1.55590002153648,0.197402311738573,1.33734939759036,0.844213042232524
"L45","L45","CRE-MXT-NCD","CRE-MXT-NCD-5",2.41810200420442,6.5048559580969,1.75579598145286,0.916893509753674,1.44299625384723,0.282316885252807,0.967389580512913,0.747382052466327,0.455190351272304,-1.43377974169097,0.224335692922337,1.13253012048193,0.618374876357686
"L26","L26","CGF-MXG-PRO","CGF-MXG-PRO-2",4.27785540602707,6.0937909209952,1.76352395672334,1.19220593162716,1.96110460203002,0.690998181496655,0.989547574517593,0.798408344408015,0.464059874774881,-1.22891436351083,-0.308497335715383,1.20481927710843,0.985499489933852
"L97","L97","SFA-ONE-PRO","SFA-ONE-PRO-8",-4.97917159563034,6.79550414666085,1.82071097372488,1.20146622270405,1.76111414575313,0.1518154037747,0.600814413887694,0.505110736677017,0.422968984325342,-1.54475965134378,0.40432324683171,1.4578313253012,0.266319563348788
"L81","L81","OTO-MON-NCD","OTO-MON-NCD-8",-11.2410045487728,6.15206241815801,1.69088098918083,1.24961543833987,1.37278339205646,0.490732762753175,0.46195980223349,0.681302010697994,0.617917171296492,-1.60897774183961,0.24732163098477,1.30120481927711,0.844213042232524
"L90","L90","SFA-ONE-PRO","SFA-ONE-PRO-1",-3.04510990028768,6.79550414666085,2.00927357032457,1.01858681500973,1.66360250083574,0.197873002568445,0.555192984235506,0.439127377877221,0.351920372453647,-1.54843214219637,0.369231746834245,1.35542168674699,0.266319563348788
"L21","L21","CGF-MON-PRO","CGF-MON-PRO-5",4.41067894999775,6.0937909209952,2.16383307573416,1.04978691682187,1.82064422241591,0.857970196153959,0.781533372730932,0.870684494351985,0.743681428722351,-1.05890334730735,-0.0931432452331859,1.27710843373494,0.884694439706475
"L99","L99","UCP-MXG-NCD","UCP-MXG-NCD-2",3.73848443636931,6.36386948930598,1.58578052550232,1.3735019890859,1.45258556294769,0.182944809123406,0.484284209860825,0.585099548090556,0.49428736416729,-1.51008882520875,0.517854367696617,1.24096385542169,1.26631956334879
"L68","L68","MHC-ONE-NCD","MHC-ONE-NCD-3",4.90767625644352,6.59013531209079,1.85780525502318,1.03092930481531,2.09571787115017,0.472203330004491,0.76514340142962,0.610051747429361,0.453652329270198,-1.23472780799926,0.0162913432907588,1.50602409638554,0.921314318110481
