"","tissue","model","term","ASV","mean","sign","support.all","kingdom","phylum","class","order","family","genus","species","CS1"
"513","Soil","Presence","Cu","ASV_97",2.06583867122861,"positive",0.99975,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,-6.7506085
"514","Soil","Presence","Cu","ASV_756",2.07519359532268,"positive",0.99225,"k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,-5.1112152
"515","Soil","Presence","Cu","ASV_20",2.08008976732927,"positive",0.9955,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,-6.7176235
"516","Soil","Presence","Cu","ASV_137",2.11669113883838,"positive",0.99975,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaeta",NA,-6.8541596
"517","Soil","Presence","Cu","ASV_163",2.12778229518445,"positive",0.998,"k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,-5.1198674
"518","Soil","Presence","Cu","ASV_661",2.14961497920068,"positive",0.997,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae",NA,NA,0.9270244
"519","Soil","Presence","Cu","ASV_1255",2.17856744357932,"positive",0.99675,"k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus",NA,-4.2073435
"520","Soil","Presence","Cu","ASV_1496",2.1797829654958,"positive",0.99925,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA,-5.9980609
"521","Soil","Presence","Cu","ASV_2117",2.20810039642658,"positive",0.994,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,-1.2504326
"522","Soil","Presence","Cu","ASV_2375",2.2309986058819,"positive",0.998,"k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,-1.6014243
"523","Soil","Presence","Cu","ASV_28",2.24223002968722,"positive",1,"k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__elongata",-5.8352663
"524","Soil","Presence","Cu","ASV_267",2.25140563496685,"positive",0.99775,"k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Operculomyces","s__laminatus",-4.6322375
"525","Soil","Presence","Cu","ASV_1062",2.27062747651161,"positive",0.99825,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA,-6.3505282
"526","Soil","Presence","Cu","ASV_583",2.28526785039956,"positive",0.997,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__flanaganii",-6.3414485
"527","Soil","Presence","Cu","ASV_279",2.28881693161977,"positive",1,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium","s__apiense",-5.6378484
"528","Soil","Presence","Cu","ASV_191",2.30393718106258,"positive",0.99625,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Poaceascoma","s__helicoides",-6.3458543
"529","Soil","Presence","Cu","ASV_1424",2.33202967669081,"positive",0.999,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7423037
"530","Soil","Presence","Cu","ASV_1731",2.33621780408628,"positive",0.99975,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Corynesporascaceae","g__Corynespora","s__cassiicola",-6.3470597
"531","Soil","Presence","Cu","ASV_1880",2.35578399487451,"positive",0.99875,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales",NA,NA,NA,-4.6711412
"532","Soil","Presence","Cu","ASV_995",2.36810033675003,"positive",0.999,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales",NA,NA,NA,-4.6718485
"533","Soil","Presence","Cu","ASV_2176",2.36967117248363,"positive",0.9985,"k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales",NA,NA,NA,-4.3796816
"534","Soil","Presence","Cu","ASV_1134",2.40395272946003,"positive",0.99975,"k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Spizellomyces","s__punctatus",-4.4251351
"535","Soil","Presence","Cu","ASV_1015",2.40815823062204,"positive",0.9995,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA,14.2323769
"536","Soil","Presence","Cu","ASV_1252",2.42821663101855,"positive",1,"k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus",NA,-6.460911
"537","Soil","Presence","Cu","ASV_540",2.45783699232612,"positive",0.99975,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS10",NA,NA,NA,-4.0610071
"538","Soil","Presence","Cu","ASV_1504",2.47487362644042,"positive",0.9995,"k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Spizellomyces","s__pseudodichotomus",-4.4135689
"539","Soil","Presence","Cu","ASV_666",2.60639143473782,"positive",1,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,-6.7266536
"540","Soil","Presence","Cu","ASV_2472",2.6902733261516,"positive",1,"k__Fungi","p__Blastocladiomycota",NA,NA,NA,NA,NA,-3.9474411
"541","Soil","Presence","Cu","ASV_1808",2.69676872359429,"positive",1,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales",NA,NA,NA,-4.6719112
"542","Soil","Presence","Cu","ASV_145",2.71397901843308,"positive",0.99975,"k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Pseudaleuria",NA,-6.9885055
"543","Soil","Presence","Cu","ASV_496",2.73327944178968,"positive",0.99975,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__oryzae",-5.8697354
"544","Soil","Presence","Cu","ASV_447",2.81912586445902,"positive",1,"k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA,-5.4552634
"545","Soil","Presence","Cu","ASV_2971",2.85718842864739,"positive",0.99975,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus","s__macrocarpum",-4.7033784
"546","Soil","Presence","Cu","ASV_330",2.89322557468895,"positive",1,"k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolus",NA,-6.4864068
"547","Soil","Presence","Cu","ASV_205",3.04646290442658,"positive",1,"k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__alpina",-5.5192658
"548","Soil","Presence","Cu","ASV_827",3.18207017985024,"positive",1,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__leptospora",-6.5145429
"549","Soil","Presence","doc","ASV_179",-2.42566646021169,"negative",1,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA,-3.9069549
"550","Soil","Presence","doc","ASV_402",-2.14864037745465,"negative",0.99975,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lindgomycetaceae","g__Clohesyomyces",NA,-6.4665115
"551","Soil","Presence","doc","ASV_415",-2.07276059490612,"negative",0.99975,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Pseudeurotium",NA,-5.6407175
"552","Soil","Presence","doc","ASV_224",-1.95590325726501,"negative",0.99975,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriaceae",NA,NA,-5.9196612
"553","Soil","Presence","doc","ASV_2774",-1.94255456385626,"negative",0.99975,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS05",NA,NA,NA,-4.0356205
"554","Soil","Presence","doc","ASV_1326",-1.94141875106942,"negative",0.99925,"k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,-1.6054295
"555","Soil","Presence","doc","ASV_1117",-1.9243720706132,"negative",0.99925,"k__Fungi","p__Entorrhizomycota","c__Entorrhizomycetes","o__Entorrhizales","f__Entorrhizaceae","g__Entorrhiza","s__tenuis",-3.9984208
"556","Soil","Presence","doc","ASV_595",-1.86501443794511,"negative",1,"k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Byssonectria",NA,-6.7126227
"557","Soil","Presence","doc","ASV_379",-1.83060764717196,"negative",0.998,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus",NA,-4.6564264
"558","Soil","Presence","doc","ASV_765",-1.80927966013677,"negative",0.99975,"k__Fungi","p__Ascomycota","c__Orbiliomycetes",NA,NA,NA,NA,-5.5695891
"559","Soil","Presence","doc","ASV_2928",-1.77301509281402,"negative",0.99725,"k__Fungi","p__Glomeromycota","c__Paraglomeromycetes","o__Paraglomerales","f__Paraglomeraceae","g__Paraglomus","s__brasilianum",-4.216136
"560","Soil","Presence","doc","ASV_3496",-1.73091611520621,"negative",0.9975,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.2963658
"561","Soil","Presence","doc","ASV_2478",-1.69970507275234,"negative",0.998,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.3130524
"562","Soil","Presence","doc","ASV_253",-1.66043839016827,"negative",0.99825,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA,14.2146535
"563","Soil","Presence","doc","ASV_528",-1.65061336577614,"negative",0.9985,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.7619456
"564","Soil","Presence","doc","ASV_623",-1.64351569730132,"negative",0.998,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.316885
"565","Soil","Presence","doc","ASV_209",-1.62962916110357,"negative",0.99825,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7430875
"566","Soil","Presence","doc","ASV_2277",-1.62445065964387,"negative",0.9985,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,-6.7181258
"567","Soil","Presence","doc","ASV_71",-1.57198004802271,"negative",0.99625,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA,-6.3535228
"568","Soil","Presence","doc","ASV_37",-1.54348765989165,"negative",0.99825,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Branch06",NA,NA,NA,-6.2689926
"569","Soil","Presence","doc","ASV_1299",-1.52069615619874,"negative",0.9955,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,NA,NA,0.9564646
"570","Soil","Presence","doc","ASV_314",-1.5161605581554,"negative",0.997,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7430283
"571","Soil","Presence","doc","ASV_693",-1.50512706788038,"negative",0.99625,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis","g__Minimedusa","s__polyspora",0.8414011
"572","Soil","Presence","doc","ASV_636",-1.5029019180354,"negative",0.9905,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Rhizophagus",NA,-4.6554969
"573","Soil","Presence","doc","ASV_390",-1.48433535697213,"negative",0.9925,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Lulworthiales","f__Lulworthiaceae","g__Moleospora",NA,-5.9076421
"574","Soil","Presence","doc","ASV_4536",-1.4686420041182,"negative",0.99,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA,-4.0326516
"575","Soil","Presence","doc","ASV_210",-1.46470493631179,"negative",0.99,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae",NA,NA,-5.5578843
"576","Soil","Presence","doc","ASV_1670",-1.45544047111904,"negative",0.99275,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,-6.7186588
"577","Soil","Presence","doc","ASV_791",-1.43696090141513,"negative",0.9935,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6412481
"578","Soil","Presence","doc","ASV_1363",-1.42672216359817,"negative",0.99125,"k__Fungi","p__Ascomycota","c__Orbiliomycetes",NA,NA,NA,NA,-5.564463
"579","Soil","Presence","doc","ASV_3443",-1.4216369274878,"negative",0.99525,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.2969566
"580","Soil","Presence","doc","ASV_161",-1.40239775446791,"negative",0.998,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__tabarestanensis",-6.5548274
"581","Soil","Presence","doc","ASV_5",-1.37437347795804,"negative",0.998,"k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Hoehnelomycetaceae","g__Atractiella","s__solani",-2.1000682
"582","Soil","Presence","doc","ASV_3543",-1.37117581673178,"negative",0.99025,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pluteaceae","g__Pluteus","s__septocystidiatus",4.5209493
"583","Soil","Presence","doc","ASV_533",-1.33820046272152,"negative",0.99725,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus",-6.3930764
"584","Soil","Presence","doc","ASV_608",-1.31976683938188,"negative",0.995,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales",NA,NA,NA,-4.6762009
"585","Soil","Presence","doc","ASV_3752",-1.30969811748867,"negative",0.99075,"k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae",NA,NA,-4.3877552
"586","Soil","Presence","doc","ASV_3395",-1.29422196160516,"negative",0.992,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.634194
"587","Soil","Presence","doc","ASV_254",-1.28788885465087,"negative",0.9975,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.769138
"588","Soil","Presence","doc","ASV_1068",-1.27385118020715,"negative",0.9925,"k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Spizellomyces","s__dolichospermus",-4.5465486
"589","Soil","Presence","doc","ASV_523",-1.22770273826879,"negative",0.99625,"k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae",NA,NA,-4.4440577
"590","Soil","Presence","doc","ASV_521",-1.21838537130029,"negative",0.995,"k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__moelleri",-3.9960854
"591","Soil","Presence","doc","ASV_113",-1.17070385952198,"negative",0.9915,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Cistella",NA,-5.6179838
"592","Soil","Presence","perc.clay","ASV_11",-1.63022022340607,"negative",1,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycena",NA,5.739844
"593","Soil","Presence","perc.clay","ASV_1733",-1.62366525187143,"negative",1,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS10",NA,NA,NA,-4.0435462
"594","Soil","Presence","perc.clay","ASV_16",-1.52747759958979,"negative",0.99975,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycena",NA,5.7398396
"595","Soil","Presence","perc.clay","ASV_117",-1.4746840231655,"negative",0.9995,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA,14.3280351
"596","Soil","Presence","perc.clay","ASV_775",-1.44590628129429,"negative",0.99925,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales",NA,NA,NA,-4.4820293
"597","Soil","Presence","perc.clay","ASV_642",-1.41802989813154,"negative",1,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,-1.2442185
"598","Soil","Presence","perc.clay","ASV_195",-1.37169646491031,"negative",0.99925,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Camarophyllopsis",NA,5.6778798
"599","Soil","Presence","perc.clay","ASV_427",-1.34810946015798,"negative",0.99925,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA,14.2571145
"600","Soil","Presence","perc.clay","ASV_1734",-1.30937960698773,"negative",0.998,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6307265
"601","Soil","Presence","perc.clay","ASV_748",-1.27052383641212,"negative",0.99925,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA,-5.0612266
"602","Soil","Presence","perc.clay","ASV_344",-1.22404739508272,"negative",0.99825,"k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,-5.6668103
"603","Soil","Presence","perc.clay","ASV_4060",-1.209516310961,"negative",0.99625,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA,-4.0315403
"604","Soil","Presence","perc.clay","ASV_9",-1.18340790522308,"negative",0.999,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA,16.2441149
"605","Soil","Presence","perc.clay","ASV_140",-1.17836239862418,"negative",0.9995,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Thanatephorus","s__cucumeris",0.679217
"606","Soil","Presence","perc.clay","ASV_2089",-1.16305308755392,"negative",0.99775,"k__Fungi","p__Blastocladiomycota",NA,NA,NA,NA,NA,-3.9444595
"607","Soil","Presence","perc.clay","ASV_184",-1.16023583493828,"negative",0.99375,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales",NA,NA,NA,14.341119
"608","Soil","Presence","perc.clay","ASV_292",-1.1272691458394,"negative",0.99825,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA,-5.6039106
"609","Soil","Presence","perc.clay","ASV_51",-1.11378044159363,"negative",0.99425,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Camarophyllopsis",NA,5.7045163
"610","Soil","Presence","perc.clay","ASV_489",-1.08671530868294,"negative",0.996,"k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae",NA,NA,-5.5745042
"611","Soil","Presence","perc.clay","ASV_383",-1.08265726756348,"negative",0.9965,"k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Operculomyces","s__laminatus",-4.5985589
"612","Soil","Presence","perc.clay","ASV_519",-1.05262616251436,"negative",0.999,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA,-3.8827382
"613","Soil","Presence","perc.clay","ASV_188",-1.05028584324505,"negative",0.99875,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA,-1.7357989
"614","Soil","Presence","perc.clay","ASV_2196",-1.00888188691473,"negative",0.99725,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6349354
"615","Soil","Presence","perc.clay","ASV_346",-1.00573710123086,"negative",0.9945,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA,-3.859053
"616","Soil","Presence","perc.clay","ASV_901",-1.00394729558953,"negative",0.9945,"k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__angusta",-5.3921882
"617","Soil","Presence","perc.clay","ASV_1757",-1.00261056463493,"negative",0.996,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA,-4.0333286
"618","Soil","Presence","perc.clay","ASV_12",-0.979570352333683,"negative",0.99575,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,-5.3664685
"619","Soil","Presence","perc.clay","ASV_5",-0.950467884002898,"negative",0.99775,"k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Hoehnelomycetaceae","g__Atractiella","s__solani",-2.1000682
"620","Soil","Presence","perc.clay","ASV_3933",-0.94728931983746,"negative",0.99275,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6333962
"621","Soil","Presence","perc.clay","ASV_454",-0.933158775034236,"negative",0.99075,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,-6.6933026
"622","Soil","Presence","perc.clay","ASV_385",-0.872554745854771,"negative",0.9955,"k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA,-5.4495959
"623","Soil","Presence","perc.clay","ASV_220",-0.863064434538567,"negative",0.99075,"k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__alpina",-5.5079651
"624","Soil","Presence","perc.clay","ASV_521",-0.81132579441662,"negative",0.99525,"k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__moelleri",-3.9960854
"625","Soil","Presence","perc.clay","ASV_80",0.717268337078506,"positive",0.991,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaeta",NA,-6.8339048
"626","Soil","Presence","perc.clay","ASV_153",0.822273040104551,"positive",0.99325,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,-6.7622539
"627","Soil","Presence","perc.clay","ASV_254",0.860355694417197,"positive",0.99475,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Glomus",NA,-4.769138
"628","Soil","Presence","perc.clay","ASV_36",0.89372642287705,"positive",0.99275,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA,5.6773943
"629","Soil","Presence","perc.clay","ASV_42",0.922536894393408,"positive",0.998,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,-1.4032218
"630","Soil","Presence","perc.clay","ASV_101",0.929467443160589,"positive",0.9945,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,-1.3129447
"631","Soil","Presence","perc.clay","ASV_293",0.939177520396948,"positive",0.9975,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6379486
"632","Soil","Presence","perc.clay","ASV_296",0.969099323099028,"positive",0.994,"k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Spizellomyces","s__dolichospermus",-4.5648234
"633","Soil","Presence","perc.clay","ASV_2384",0.997875946085042,"positive",0.99075,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6352577
"634","Soil","Presence","perc.clay","ASV_29",1.01048974268124,"positive",0.99525,"k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Wilcoxina","s__mikolae",-7.6748209
"635","Soil","Presence","perc.clay","ASV_3308",1.02550550053866,"positive",0.99625,"k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae",NA,NA,-4.4522026
"636","Soil","Presence","perc.clay","ASV_604",1.04870556167706,"positive",0.99825,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae",NA,NA,5.6259958
"637","Soil","Presence","perc.clay","ASV_2486",1.08034717366566,"positive",0.994,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales",NA,NA,NA,-4.6708317
"638","Soil","Presence","perc.clay","ASV_3971",1.08376876410406,"positive",0.9915,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA,-4.0326435
"639","Soil","Presence","perc.clay","ASV_159",1.10896571783727,"positive",0.99375,"k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae",NA,NA,-6.9451611
"640","Soil","Presence","perc.clay","ASV_1030",1.11436990785697,"positive",0.99375,"k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA,NA,-4.7412461
"641","Soil","Presence","perc.clay","ASV_1797",1.11544648538819,"positive",0.99025,"k__Fungi","p__Glomeromycota","c__Archaeosporomycetes","o__Archaeosporales",NA,NA,NA,-4.3696313
"642","Soil","Presence","perc.clay","ASV_538",1.15664756398641,"positive",0.99925,"k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Operculomyces","s__laminatus",-4.6276762
"643","Soil","Presence","perc.clay","ASV_1284",1.16832823310215,"positive",0.994,"k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__elongata",-5.685134
"644","Soil","Presence","perc.clay","ASV_92",1.1753013440156,"positive",0.99025,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lindgomycetaceae","g__Clohesyomyces",NA,-6.4534701
"645","Soil","Presence","perc.clay","ASV_765",1.17812261727915,"positive",0.99725,"k__Fungi","p__Ascomycota","c__Orbiliomycetes",NA,NA,NA,NA,-5.5695891
"646","Soil","Presence","perc.clay","ASV_583",1.17956330735552,"positive",0.9925,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__flanaganii",-6.3414485
"647","Soil","Presence","perc.clay","ASV_886",1.18525899035371,"positive",0.996,"k__Fungi","p__Glomeromycota",NA,NA,NA,NA,NA,-4.3158389
"648","Soil","Presence","perc.clay","ASV_1299",1.18633726072422,"positive",0.9945,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,NA,NA,0.9564646
"649","Soil","Presence","perc.clay","ASV_1180",1.19255968221429,"positive",0.99625,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae",NA,NA,-5.926409
"650","Soil","Presence","perc.clay","ASV_929",1.19270106014417,"positive",0.99825,"k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA,-5.1073566
"651","Soil","Presence","perc.clay","ASV_1538",1.20093425461202,"positive",0.99675,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6372914
"652","Soil","Presence","perc.clay","ASV_2128",1.2069795732463,"positive",0.992,"k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,-1.6008722
"653","Soil","Presence","perc.clay","ASV_645",1.20876917560922,"positive",0.99675,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,-6.6358513
