ASV,kingdom,phylum,class,order,family,genus,species
ASV_274,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Operculomyces,s__laminatus
ASV_2919,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Operculomyces,s__laminatus
ASV_267,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Operculomyces,s__laminatus
ASV_394,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiales_fam_Incertae_sedis,g__Operculomyces,s__laminatus
ASV_1025,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA
ASV_3940,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA
ASV_507,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA
ASV_5419,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA
ASV_3004,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA
ASV_4995,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA
ASV_2897,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA
ASV_2093,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA
ASV_2604,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,NA,NA,NA
ASV_1539,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Terramycetaceae,NA,NA
ASV_1488,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Terramycetaceae,g__Boothiomyces,s__macroporosum
ASV_2745,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,NA
ASV_4430,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,NA
ASV_4388,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,NA
ASV_3850,k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae,g__Betamyces,NA
ASV_1547,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,NA,NA
ASV_523,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,NA,NA
ASV_2264,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,NA,NA
ASV_2452,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,NA,NA
ASV_2100,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,NA,NA
ASV_2233,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,NA,NA
ASV_5264,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,NA,NA
ASV_1165,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Powellomycetaceae,g__Powellomyces,NA
ASV_2176,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,NA,NA,NA
ASV_3752,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,NA,NA
ASV_3358,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__dolichospermus
ASV_1504,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__pseudodichotomus
ASV_681,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,NA
ASV_1802,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__punctatus
ASV_1134,k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__punctatus
ASV_3810,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_1465,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_203,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_1787,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_4240,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_5166,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_756,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_3408,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_2050,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_929,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_784,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_163,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_335,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_7332,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_4694,k__Fungi,p__Chytridiomycota,c__Lobulomycetes,o__Lobulomycetales,f__Lobulomycetaceae,g__Lobulomyces,s__poculatus
ASV_303,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,s__littoreum
ASV_431,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,s__brooksianum
ASV_193,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Rhizophydiales,f__Rhizophydiaceae,g__Rhizophydium,s__brooksianum
ASV_5257,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Chytridiales,f__Chytridiaceae,NA,NA
ASV_2363,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,NA,NA,NA,NA
ASV_1308,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,NA,NA,NA,NA
ASV_1068,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__dolichospermus
ASV_629,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__dolichospermus
ASV_296,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__dolichospermus
ASV_1267,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Spizellomycetales,f__Spizellomycetaceae,g__Spizellomyces,s__pseudodichotomus
ASV_1537,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Spizellomycetales,f__Spizellomycetaceae,NA,NA
ASV_2539,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Spizellomycetales,f__Spizellomycetaceae,NA,NA
ASV_2775,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Spizellomycetales,f__Spizellomycetaceae,NA,NA
ASV_3308,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__Spizellomycetales,f__Spizellomycetaceae,NA,NA
ASV_2472,k__Fungi,p__Blastocladiomycota,NA,NA,NA,NA,NA
ASV_2089,k__Fungi,p__Blastocladiomycota,NA,NA,NA,NA,NA
ASV_4060,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_5277,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_686,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_2273,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_2030,k__Fungi,p__Zoopagomycota,NA,NA,NA,NA,NA
ASV_1640,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_3099,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_1596,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_1536,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_4425,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_2128,k__Fungi,p__Basidiomycota,NA,NA,NA,NA,NA
ASV_4536,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_2973,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_3323,k__Fungi,p__Ascomycota,NA,NA,NA,NA,NA
ASV_336,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_699,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_6526,k__Fungi,p__Basidiobolomycota,NA,NA,NA,NA,NA
ASV_1898,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_2573,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_3971,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_4397,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_5935,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_4145,k__Fungi,p__Chytridiomycota,NA,NA,NA,NA,NA
ASV_3265,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor,s__minutus
ASV_521,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Mucor,s__moelleri
ASV_2213,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Mucoraceae,g__Zygorhynchus,NA
ASV_2959,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Cunninghamellaceae,g__Gongronella,NA
ASV_4350,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Cunninghamellaceae,g__Cunninghamella,s__elegans
ASV_4007,k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Choanephoraceae,g__Blakeslea,s__trispora
ASV_807,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__Umbelopsidales,f__Umbelopsidaceae,g__Umbelopsis,NA
ASV_1176,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__Umbelopsidales,f__Umbelopsidaceae,g__Umbelopsis,NA
ASV_4392,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__Umbelopsidales,f__Umbelopsidaceae,g__Umbelopsis,s__vinacea
ASV_6500,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,f__Gigasporaceae,g__Gigaspora,NA
ASV_4320,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,f__Gigasporaceae,g__Gigaspora,NA
ASV_2252,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,f__Gigasporaceae,g__Scutellospora,s__heterogama
ASV_2206,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,f__Gigasporaceae,NA,NA
ASV_2212,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,f__Gigasporaceae,g__Cetraspora,NA
ASV_2017,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,f__Gigasporaceae,g__Cetraspora,NA
ASV_814,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Acaulosporaceae,NA,NA
ASV_1834,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Corymbiglomus,s__corymbiforme
ASV_3326,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,g__Corymbiglomus,s__corymbiforme
ASV_1297,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,NA,NA
ASV_1071,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,NA,NA
ASV_2436,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,NA,NA
ASV_502,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,NA,NA
ASV_1198,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_1880,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_608,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_1808,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_451,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_2486,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_628,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_926,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_1828,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_995,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_812,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_1368,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_822,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_1717,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_1917,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_2550,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,NA,NA,NA
ASV_567,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Kamienskia,NA
ASV_527,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Kamienskia,NA
ASV_134,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Kamienskia,s__divaricata
ASV_561,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_363,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1038,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_755,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_942,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_391,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1391,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_468,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_592,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_999,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_750,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_2137,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1862,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1428,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_658,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_610,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1052,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_711,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_834,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1510,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1932,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1157,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_714,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_314,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1004,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1273,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_2413,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_2394,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_3577,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_683,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_2077,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1454,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1396,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_324,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_882,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_2183,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_2563,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_943,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_713,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1282,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1233,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_790,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1072,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_448,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_297,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_250,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_956,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_2385,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1115,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1424,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1846,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1645,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_692,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_209,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_893,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1008,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_2649,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_957,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_811,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_883,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_258,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1323,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_930,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_574,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1550,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_601,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_985,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_924,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_3357,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_654,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_457,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_701,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1030,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1666,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1460,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_568,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_778,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_1002,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA
ASV_2346,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Dominikia,NA
ASV_598,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_430,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_739,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_636,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_1200,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_785,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_379,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_1605,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_843,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_620,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_949,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_1001,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_679,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_631,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,NA
ASV_553,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__intraradices
ASV_213,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__intraradices
ASV_1138,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__intraradices
ASV_395,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__intraradices
ASV_319,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__irregularis
ASV_781,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__irregularis
ASV_438,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__irregularis
ASV_1106,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__irregularis
ASV_1253,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__irregularis
ASV_3411,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__macrocarpum
ASV_1991,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__macrocarpum
ASV_1805,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__macrocarpum
ASV_2971,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__macrocarpum
