sample.name.match,Site,mono.mixed,cultivar,plotarea.m2,max.height.m,basal.area.m2,stand.age.yrs,ph,perc.C,watercontent,doc,p.resin,TIN,SOM,W.V,mbc,Cu,K,Mg,Mn,P,Zn,Ca,perc.N,S,perc.clay,perc.sand,MAP.mm,MAT.C,lat,lon,samp.lat,samp.lon
S151,OTO-MON,mono,Alamo,66.00,2.22,0.14,8,5.43,0.88,0.17,1.73,2.28,1.42,0.32,1.06,11.25,1.23,49.06,67.92,5.75,54.72,1.98,260.38,0.05,15.09,16.74,64.58,1127.55,14.9,36.30140,-78.61235,36.30148,-78.61237
S163,OTO-MON,mono,Alamo,66.00,2.10,0.08,8,5.71,0.73,0.18,0.43,3.81,1.04,0.22,1.21,13.01,1.07,30.58,35.54,5.21,79.34,2.48,225.62,0.04,12.40,13.13,71.11,1127.55,14.9,36.30140,-78.61235,36.30131,-78.61225
S175,OTO-MXT,mixed-tree,Alamo,507.00,2.24,0.04,7,5.05,0.80,0.09,0.59,0.98,0.81,0.32,1.26,2.73,0.40,42.86,48.41,3.33,67.46,1.03,157.94,0.04,13.49,15.31,66.59,1127.55,14.9,36.30107,-78.61558,36.30091,-78.61579
S187,SFA-ONE,mono,mixed unknown,10604.50,2.56,0.05,1,5.92,0.84,0.14,1.26,10.08,0.69,0.46,1.28,8.12,0.31,42.19,49.22,12.81,117.97,1.02,298.44,0.03,12.50,1.66,76.84,1245.48,15.0,35.37303,-81.68670,35.37280,-81.68637
S105,LCO-MXT,mixed-tree,Alamo,581.00,2.13,0.02,9,4.00,8.56,0.41,3.69,2.65,5.15,7.45,0.81,66.60,0.12,59.26,37.04,1.11,34.57,0.86,166.67,0.42,35.80,9.22,57.61,1259.35,16.5,35.26327,-77.46762,35.26314,-77.46788
S117,LWR-BHO,mixed-grass,unknown,3024.00,2.17,0.42,>10,6.01,0.46,0.20,5.58,2.68,0.70,0.51,1.18,0.83,0.59,72.03,88.98,13.14,264.41,2.80,596.61,0.02,12.71,4.73,71.39,1176.24,15.5,35.73513,-78.70249,35.73541,-78.70264
S223,WBI-NRT,mono,Performer,25.00,2.20,0.37,7,6.57,1.06,0.16,1.24,24.22,2.55,0.60,1.15,6.07,3.65,71.30,141.74,12.43,326.09,5.91,537.39,0.06,12.17,2.10,77.36,1300.15,16.6,34.76719,-78.10178,34.76747,-78.10192
S141,MHC-ONE,mono,unknown,88.94,2.20,0.17,10,6.88,1.49,0.24,3.45,4.14,1.64,0.32,0.98,13.95,1.33,166.33,228.57,28.06,25.51,2.24,785.71,0.10,17.35,24.93,47.26,1207.84,12.9,35.41695,-82.55740,35.41687,-82.55740
S153,OTO-MON,mono,Alamo,66.00,1.99,0.11,8,5.03,0.87,0.16,0.13,1.70,2.34,0.36,1.13,19.66,0.62,36.28,69.91,4.16,48.67,1.86,284.96,0.05,15.93,16.29,64.70,1127.55,14.9,36.30140,-78.61235,36.30145,-78.61237
S165,OTO-MON,mono,Alamo,66.00,2.16,0.14,8,5.47,0.75,0.21,0.61,5.02,1.58,0.22,1.22,14.73,1.97,31.15,38.52,6.56,92.62,3.11,218.03,0.05,13.93,13.92,67.97,1127.55,14.9,36.30140,-78.61235,36.30127,-78.61227
S177,OTO-MXT,mixed-tree,Alamo,507.00,2.35,0.11,7,5.01,0.82,0.12,0.64,0.61,0.98,0.27,1.14,5.90,0.61,34.21,53.51,2.11,48.25,0.88,196.49,0.04,15.79,18.05,63.45,1127.55,14.9,36.30107,-78.61558,36.30083,-78.61579
S189,SFA-ONE,mono,mixed unknown,10604.50,2.24,0.02,1,5.94,1.03,0.13,1.36,1.91,0.53,0.41,1.13,12.77,0.53,80.53,62.83,14.25,44.25,1.06,385.84,0.06,14.16,1.64,69.79,1245.48,15.0,35.37303,-81.68670,35.37296,-81.68656
S107,LCO-MXT,mixed-tree,Alamo,581.00,1.99,0.04,9,4.07,8.78,0.50,6.00,1.27,5.25,8.24,0.74,45.75,0.14,56.76,29.73,0.95,27.03,0.41,217.57,0.43,39.19,17.23,47.74,1259.35,16.5,35.26327,-77.46762,35.26304,-77.46801
S119,LWR-BHO,mixed-grass,unknown,3024.00,2.31,0.15,>10,5.96,1.52,0.21,1.60,3.15,2.97,0.66,1.12,8.31,0.63,141.96,113.39,10.63,191.07,4.46,657.14,0.08,15.18,5.27,68.71,1176.24,15.5,35.73513,-78.70249,35.73539,-78.70283
S211,UCP-MXG,mixed-grass,Alamo,1638.00,2.47,0.38,26,5.25,1.25,0.13,4.71,10.73,2.17,0.66,1.19,8.22,0.84,83.19,45.38,13.87,289.92,3.36,199.16,0.06,21.01,2.54,80.85,1166.37,15.8,35.89575,-77.67927,35.89592,-77.67946
S143,MHC-ONE,mono,unknown,88.94,2.35,0.06,10,6.45,1.71,0.25,2.37,3.99,0.51,0.32,0.97,14.43,2.06,232.99,157.73,22.89,40.21,1.34,750.52,0.14,18.56,26.84,48.85,1207.84,12.9,35.41695,-82.55740,35.41706,-82.55737
S155,OTO-MON,mono,Alamo,66.00,2.30,0.21,8,5.37,0.64,0.15,0.49,1.93,1.92,0.32,1.12,10.50,0.89,33.93,63.39,3.75,41.96,1.61,273.21,0.03,16.07,18.32,64.35,1127.55,14.9,36.30140,-78.61235,36.30144,-78.61234
S167,OTO-MXT,mixed-tree,Alamo,507.00,1.98,0.06,7,5.62,1.11,0.18,0.55,2.11,1.98,0.18,1.05,16.73,0.48,47.62,180.95,6.48,59.05,1.33,466.67,0.06,17.14,18.07,58.56,1127.55,14.9,36.30107,-78.61558,36.30122,-78.61579
S179,OTO-MXT,mixed-tree,Alamo,507.00,2.23,0.07,7,5.25,0.95,0.14,2.61,1.41,0.87,0.22,1.12,4.99,0.54,53.57,108.93,1.43,49.11,0.89,272.32,0.03,16.96,20.98,63.67,1127.55,14.9,36.30107,-78.61558,36.30075,-78.61578
S199,UCP-MXG,mixed-grass,Alamo,1638.00,1.83,0.06,26,4.81,1.18,0.10,1.85,7.96,1.95,0.46,1.19,4.00,0.59,73.95,31.09,12.94,169.75,2.86,105.88,0.06,15.97,2.54,79.09,1166.37,15.8,35.89575,-77.67927,35.89562,-77.67903
S193,SFA-ONE,mono,mixed unknown,10604.50,2.60,0.02,1,6.42,0.89,0.14,0.14,0.27,1.19,0.36,1.20,10.69,0.33,110.83,39.17,12.08,107.50,1.33,335.83,0.03,10.83,1.67,79.91,1245.48,15.0,35.37303,-81.68670,35.37329,-81.68667
S233,SFA-ONE,mono,mixed unknown,10604.50,2.20,0.03,1,5.40,1.16,0.13,2.13,0.02,0.64,0.41,1.22,10.43,0.41,40.16,28.69,9.51,13.11,0.33,221.31,0.04,24.59,11.05,69.49,1245.48,15.0,35.37303,-81.68670,35.37346,-81.68686
S217,WBI-NRT,mono,Performer,25.00,2.65,0.27,7,6.60,0.81,0.17,3.58,16.35,3.35,0.27,1.11,1.61,3.78,93.69,140.54,12.52,231.53,5.23,590.99,0.05,12.61,3.26,78.68,1300.15,16.6,34.76719,-78.10178,34.76713,-78.10217
S207,UCP-MXG,mixed-grass,Alamo,1638.00,2.34,0.23,26,4.60,1.72,0.16,5.48,12.60,2.35,1.08,1.05,12.69,1.52,57.14,37.14,22.19,456.19,4.57,215.24,0.10,29.52,3.84,66.24,1166.37,15.8,35.89575,-77.67927,35.89582,-77.67932
S219,WBI-NRT,mono,Performer,25.00,2.72,0.57,7,6.50,0.91,0.17,1.30,17.80,2.85,0.32,1.12,12.13,4.02,112.50,133.04,11.88,233.04,5.18,583.04,0.06,12.50,2.50,78.60,1300.15,16.6,34.76719,-78.10178,34.76713,-78.10215
S231,SFA-ONE,mono,mixed unknown,10604.50,2.25,0.02,1,6.50,0.90,0.14,0.30,2.10,0.71,0.32,1.09,16.61,0.55,66.06,83.49,10.37,39.45,0.92,459.63,0.06,12.84,2.89,75.46,1245.48,15.0,35.37303,-81.68670,35.37247,-81.68662
S232,SFA-ONE,mono,mixed unknown,10604.50,2.27,0.02,1,5.73,0.78,0.14,2.16,0.07,0.35,0.41,1.21,11.83,0.25,29.75,35.54,10.08,15.70,0.66,294.21,0.03,16.53,4.06,75.85,1245.48,15.0,35.37303,-81.68670,35.37313,-81.68685
S215,WBI-NRT,mono,Performer,25.00,2.59,0.41,7,6.43,1.14,0.17,0.00,20.92,3.82,0.27,1.13,19.62,3.27,116.81,136.28,12.57,215.93,5.13,538.94,0.05,12.39,2.09,78.30,1300.15,16.6,34.76719,-78.10178,34.76713,-78.10218
S9,BRF-ONE,mono,unknown,1350.00,2.65,0.11,5,5.58,0.86,0.22,3.88,0.00,1.37,0.41,1.13,6.06,0.53,51.33,131.86,28.94,23.01,2.30,401.77,0.06,13.27,7.27,67.63,1169.34,15.5,35.60368,-78.84774,35.60362,-78.84776
